SUBSISTEMA,TIPO INSTITUICAO,COD IES,COD UO,IES,IES UO,ASSOCIACAO,NUMERO REGISTO,CURSO,COD CURSO,ECTS,CNA/CL/CI,DURACAO,TIPO CURSO,COD CNAEF,LMA,REGIME GERAL DE ACESSO,MAIORES 23,DIPLOMADOS DET,DIPLOMADOS TESP,OUTROS CURSOS SUPERIORES,CURSOS DUPLA CERTIFICAÇÃO,MEDICINA PARA LICENCIADOS,ESTUDANTES INTERNACIONAIS,MUDANÇA DE PAR,REGIMES ESPECIAIS,TOTAL VAGAS CE,TOTAL VAGAS
Público,Universitário,0100,0160,Universidade dos Açores,Universidade dos Açores - Faculdade de Ciências e Tecnologia,n/a,R/A-Cr 30/2015,Biologia,9011,180,CNA,6 Semestres,L1,421,50,34,3,0,0,4,3,0,2,4,0,16,50
Público,Universitário,0100,0160,Universidade dos Açores,Universidade dos Açores - Faculdade de Ciências e Tecnologia,n/a,R/Cr-Prep 92/2015,Ciclo Básico de Medicina,8083,180,CNA,3 anos,PMI,721,999,50,0,0,0,0,0,0,0,0,0,0,50
Público,Universitário,0100,0160,Universidade dos Açores,Universidade dos Açores - Faculdade de Ciências e Tecnologia,n/a,R/A-Cr 01609864/2011,Ciências de Engenharia - Engenharia Mecânica; Engenharia Eletrotécnica e de Computadores (preparatórios),8571,120,CNA,,PL1,529,999,20,2,0,0,2,2,0,0,2,1,8,29
Público,Universitário,0100,0160,Universidade dos Açores,Universidade dos Açores - Faculdade de Ciências e Tecnologia,n/a,R/A-Cr 49/2015,Ciências do Oceano (ensino em inglês),A017,180,CNA,6 Semestres,L1,443,0,14,0,0,0,1,0,0,5,0,0,6,20
Público,Universitário,0100,0160,Universidade dos Açores,Universidade dos Açores - Faculdade de Ciências e Tecnologia,n/a,R/A-Ef 2840/2011,Informática,9185,180,CNA,6 Semestres,L1,481,35,25,2,0,3,2,1,0,1,1,0,10,35
Público,Universitário,0100,0160,Universidade dos Açores,Universidade dos Açores - Faculdade de Ciências e Tecnologia,n/a,R/A-Cr 90/2012,Proteção Civil e Gestão de Riscos,8524,180,CNA,6 Semestres,L1,443,40,20,5,0,0,5,3,0,3,4,0,20,40
Público,Universitário,0100,0170,Universidade dos Açores,Universidade dos Açores - Faculdade de Economia e Gestão,n/a,R/A-Ef 2835/2011,Economia,9081,180,CNA,6 Semestres,L1,314,20,15,2,0,0,2,0,0,0,1,0,5,20
Público,Universitário,0100,0170,Universidade dos Açores,Universidade dos Açores - Faculdade de Economia e Gestão,n/a,R/A-Ef 2838/2011,Gestão,9147,180,CNA,6 Semestres,L1,345,80,50,16,0,0,3,4,0,5,2,0,30,80
Público,Universitário,0100,0170,Universidade dos Açores,Universidade dos Açores - Faculdade de Economia e Gestão,n/a,R/A-Ef 3527/2011,Turismo,9254,180,CNA,6 Semestres,L1,812,40,28,5,0,0,1,2,0,2,2,0,12,40
Público,Politécnico,0200,3081,Universidade do Algarve,Universidade do Algarve - Escola Superior de Educação e Comunicação,n/a,R/A-Ef 2273/2011,Ciências da Comunicação,9023,180,CNA,6 Semestres,L1,321,55,41,2,0,2,1,1,0,5,2,1,13,55
Público,Politécnico,0200,3081,Universidade do Algarve,Universidade do Algarve - Escola Superior de Educação e Comunicação,n/a,R/A-Ef 2274/2011,Design de Comunicação,9070,180,CNA,6 Semestres,L1,213,55,39,3,1,2,1,0,0,6,2,1,15,55
Público,Politécnico,0200,3081,Universidade do Algarve,Universidade do Algarve - Escola Superior de Educação e Comunicação,n/a,R/A-Ef 3490/2011,Desporto,9563,180,CNA,6 Semestres,L1,813,55,41,3,0,1,1,1,0,6,1,1,13,55
Público,Politécnico,0200,3081,Universidade do Algarve,Universidade do Algarve - Escola Superior de Educação e Comunicação,n/a,R/A-Ef 3491/2011,Educação Básica,9853,180,CNA,6 Semestres,L1,144,55,42,4,0,0,3,2,0,0,4,0,13,55
Público,Politécnico,0200,3081,Universidade do Algarve,Universidade do Algarve - Escola Superior de Educação e Comunicação,n/a,R/A-Cr 2275/2011,Educação Social,9084,180,CNA,3 anos,L1,762,55,35,3,2,3,3,1,0,5,2,1,19,55
Público,Politécnico,0200,3081,Universidade do Algarve,Universidade do Algarve - Escola Superior de Educação e Comunicação,n/a,R/A-Ef 108/2012,Imagem Animada,8337,180,CNA,6 Semestres,L1,213,40,35,0,0,0,0,0,0,5,0,0,5,40
Público,Politécnico,0200,3082,Universidade do Algarve,"Universidade do Algarve - Escola Superior de Gestão, Hotelaria e Turismo",n/a,R/A-Ef 2279/2011,Gestão,9147,180,CNA,6 Semestres,L1,345,115,76,5,1,8,4,2,0,6,10,2,36,114
Público,Politécnico,0200,3082,Universidade do Algarve,"Universidade do Algarve - Escola Superior de Gestão, Hotelaria e Turismo",n/a,R/A-Ef 2509/2011,Gestão (regime noturno),9148,180,CNA,8 Semestres,L1,345,64,26,18,1,5,2,1,0,5,5,1,37,64
Público,Politécnico,0200,3082,Universidade do Algarve,"Universidade do Algarve - Escola Superior de Gestão, Hotelaria e Turismo",n/a,R/A-Ef 2280/2011,Gestão Hoteleira,9173,180,CNA,6 Semestres,L1,811,78,48,4,4,3,2,4,0,8,3,2,28,78
Público,Politécnico,0200,3082,Universidade do Algarve,"Universidade do Algarve - Escola Superior de Gestão, Hotelaria e Turismo",n/a,R/A-Ef 2281/2011,Marketing,9205,180,CNA,6 Semestres,L1,342,55,33,2,0,5,1,1,0,8,3,2,20,55
Público,Politécnico,0200,3082,Universidade do Algarve,"Universidade do Algarve - Escola Superior de Gestão, Hotelaria e Turismo",n/a,R/A-Ef 2282/2011,Turismo,9254,180,CNA,6 Semestres,L1,812,90,65,5,1,1,1,2,0,5,5,5,20,90
Público,Politécnico,0200,3083,Universidade do Algarve,Universidade do Algarve - Instituto Superior de Engenharia,n/a,R/A-Ef 3498/2011,Engenharia Civil,9089,180,CNA,6 Semestres,L1,582,56,20,6,1,6,1,4,0,15,2,1,35,56
Público,Politécnico,0200,3083,Universidade do Algarve,Universidade do Algarve - Instituto Superior de Engenharia,n/a,R/A-Ef 2370/2011,Engenharia Eletrotécnica e de Computadores,L209,180,CNA,6 Semestres,L1,523,60,20,6,2,6,2,6,0,15,2,1,39,60
